Ensembl_ID,Mouse_Symbol,Category,Subcategory_or_Pathway,Evidence_Source
ENSMUSG00000031391,L1cam,CAM (L1/NCAM family),Adhesion molecule,Molecular basis of Mitomycin C enhanced corneal sensory nerve repair after debridement wounding. Sci. Rep. 2018.
ENSMUSG00000039542,Ncam1,CAM (L1/NCAM family),Adhesion molecule,Corneal Epithelial Cells Function as Surrogate Schwann Cells for their Sensory Nerves. Glia 2017 (PMC5395310).
ENSMUSG00000020598,Nrcam,CAM (L1/NCAM family),Adhesion molecule,"Demyanenko, G.P. et al. NrCAM Promotes Topographic Retinocollicular Mapping. PMC3759449."
ENSMUSG00000027954,Efna1,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007, 17, 230-238."
ENSMUSG00000003070,Efna2,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007."
ENSMUSG00000028039,Efna3,Ephrin/Eph,Ligand,Roles of Eph/ephrin bidirectional signaling in CNS injury and recovery. Exp. Ther. Med. 2018.
ENSMUSG00000028040,Efna4,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007."
ENSMUSG00000048915,Efna5,Ephrin/Eph,Ligand,"Jayasena, C.S. et al. Neuroscience 2005, 135, 97-109."
ENSMUSG00000031217,Efnb1,Ephrin/Eph,Ligand,Proangiogenic Role of ephrinB1/EphB1 in Basic Fibroblast Growth Factor-Induced Corneal Angiogenesis. PMC1851865.
ENSMUSG00000001300,Efnb2,Ephrin/Eph,Ligand,Eph-ephrin signaling couples endothelial cell sorting and arterial specification. Nat. Commun. 2024.
ENSMUSG00000003934,Efnb3,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Cell 2008, 133, 38-51."
ENSMUSG00000006445,Epha2,Ephrin/Eph,Receptor,EphA2/Ephrin-A1 Signaling Complexes Restrict Corneal Epithelial Cell Migration. IOVS 2012.
ENSMUSG00000052504,Epha3,Ephrin/Eph,Receptor,"Jayasena, C.S. et al. Neuroscience 2005; Kaczmarek, R. et al. Int. J. Mol. Sci. 2021."
ENSMUSG00000026235,Epha4,Ephrin/Eph,Receptor,"Egea, J.; Klein, R. Cell 2008, 133, 38-51."
ENSMUSG00000032537,Ephb1,Ephrin/Eph,Receptor,The Role of Eph Receptors and Ephrins in Corneal Physiology and Diseases. IJMS 2021; Proangiogenic Role of ephrinB1/EphB1... PMC1851865.
ENSMUSG00000028664,Ephb2,Ephrin/Eph,Receptor,Roles of Eph/ephrin bidirectional signaling in central nervous system injury and recovery. 2018.
ENSMUSG00000005958,Ephb3,Ephrin/Eph,Receptor,Roles of Eph/ephrin bidirectional signaling in central nervous system injury and recovery. 2018.
ENSMUSG00000029710,Ephb4,Ephrin/Eph,Receptor,Evaluation of Eph receptor and ephrin expression within the human cornea and limbus. Exp. Eye Res. 2013.
ENSMUSG00000013033,Adgrl1,FLRT/Latrophilin,Adhesion molecule,Super-complexes of adhesion GPCRs and neural guidance receptors. Nat. Commun. 2016.
ENSMUSG00000028184,Adgrl2,FLRT/Latrophilin,Adhesion molecule,Super-complexes of adhesion GPCRs and neural guidance receptors. Nat. Commun. 2016.
ENSMUSG00000037605,Adgrl3,FLRT/Latrophilin,Adhesion molecule,"Super-complexes of adhesion GPCRs and neural guidance receptors. Nat. Commun. 2016, 7, 11184."
ENSMUSG00000022687,Boc,Hedgehog,Receptor,"Okada, A. et al. Nature 2006, 444, 369-373."
ENSMUSG00000052957,Gas1,Hedgehog,Co-receptor,Gas1 is a receptor for sonic hedgehog to repel enteric axons. PNAS 2015.
ENSMUSG00000060534,Dcc,Netrin,Receptor,"Finci, L. et al. Prog. Biophys. Mol. Biol. 2015, 118, 153-160."
ENSMUSG00000050272,Dscam,Netrin,Co-receptor,DSCAM promotes self-avoidance in the developing mouse retina. PNAS 2018.
ENSMUSG00000032340,Neo1,Netrin,Receptor,Role of Netrin-1 Signaling in Nerve Regeneration. (review).
ENSMUSG00000020902,Ntn1,Netrin,Ligand,"Boyer, N.P.; Gupton, S.L. Revisiting Netrin-1. Front. Cell Neurosci. 2018, 12, 221."
ENSMUSG00000020019,Ntn4,Netrin,Ligand,"Xiao, C. et al. Netrin-4 Modulates Corneal Wound Healing. FASEB Bioadv. 2025, 7, e70021."
ENSMUSG00000025876,Unc5a,Netrin,Receptor,UNC5C: Novel Gene Associated with Psychiatric Disorders. 2024.
ENSMUSG00000020099,Unc5b,Netrin,Receptor,Super-complexes of adhesion GPCRs and neural guidance receptors. Nat. Commun. 2016.
