Ensembl_ID,Mouse_Symbol,Category,Subcategory_or_Pathway,Evidence_Source
ENSMUSG00000037025,Foxa2,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000006311,Etv2,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000028717,Tal1,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000032698,Lmo2,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000062960,Kdr,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000029648,Flt1,Vasculogenesis,Endothelial specification,Note: alternatively-spliced soluble isoform (sFlt-1) is secreted by corneal epithelium as a VEGF/PlGF decoy sustaining corneal avascularity (Ambati et al. 2006 Nature); not distinguishable from membrane-bound Flt1 at gene-level counts.
ENSMUSG00000040732,Erg,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000016087,Fli1,Vasculogenesis,Endothelial specification,NA
ENSMUSG00000023951,Vegfa,Angiogenesis,VEGF signaling,NA
ENSMUSG00000024962,Vegfb,Angiogenesis,VEGF signaling,NA
ENSMUSG00000031520,Vegfc,Angiogenesis,VEGF signaling,NA
ENSMUSG00000031380,Figf,Angiogenesis,VEGF signaling,NA
ENSMUSG00000004791,Pgf,Angiogenesis,VEGF signaling,NA
ENSMUSG00000029648,Flt1,Angiogenesis,VEGF signaling,Note: alternatively-spliced soluble isoform (sFlt-1) is secreted by corneal epithelium as a VEGF/PlGF decoy sustaining corneal avascularity (Ambati et al. 2006 Nature); not distinguishable from membrane-bound Flt1 at gene-level counts.
ENSMUSG00000062960,Kdr,Angiogenesis,VEGF signaling,NA
ENSMUSG00000020357,Flt4,Angiogenesis,VEGF signaling,NA
ENSMUSG00000025810,Nrp1,Angiogenesis,VEGF signaling,NA
ENSMUSG00000025969,Nrp2,Angiogenesis,VEGF signaling,NA
ENSMUSG00000022309,Angpt1,Vessel_Maturation,Angiopoietin/Tie,NA
ENSMUSG00000031465,Angpt2,Vessel_Maturation,Angiopoietin/Tie,NA
ENSMUSG00000006386,Tek,Vessel_Maturation,Angiopoietin/Tie,NA
ENSMUSG00000033191,Tie1,Vessel_Maturation,Angiopoietin/Tie,NA
ENSMUSG00000000489,Pdgfb,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000024620,Pdgfrb,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000026678,Rgs5,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000032911,Cspg4,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000035783,Acta2,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000026208,Des,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000032135,Mcam,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000001349,Cnn1,Vessel_Maturation,Pericyte recruitment/stabilization,NA
ENSMUSG00000032085,Tagln,Vessel_Maturation,Pericyte recruitment/stabilization,NA
