gene_id,symbol_curated,category,subcategory,evidence_source,symbol_evidence,human_ensembl_id,cell_type,evidence,source,symbol,known_cornea_expressed
ENSMUSG00000031391,L1cam,CAM (L1/NCAM family),Adhesion molecule,Molecular basis of Mitomycin C enhanced corneal sensory nerve repair after debridement wounding. Sci. Rep. 2018.,NA,NA,NA,NA,NA,L1cam,FALSE
ENSMUSG00000039542,Ncam1,CAM (L1/NCAM family),Adhesion molecule,Corneal Epithelial Cells Function as Surrogate Schwann Cells for their Sensory Nerves. Glia 2017 (PMC5395310).,NA,NA,NA,NA,NA,Ncam1,FALSE
ENSMUSG00000020598,Nrcam,CAM (L1/NCAM family),Adhesion molecule,"Demyanenko, G.P. et al. NrCAM Promotes Topographic Retinocollicular Mapping. PMC3759449.",NA,NA,NA,NA,NA,Nrcam,FALSE
ENSMUSG00000061353,Cxcl12,Chemokine guidance,Ligand,Wikipedia: Stromal cell-derived factor 1,NA,NA,NA,NA,NA,Cxcl12,FALSE
ENSMUSG00000045382,Cxcr4,Chemokine guidance,Receptor,PMC: Loss of CXCL12/CXCR4 signalling impacts cardiovascular development (Rada-Iglesias lab / cardiovascular study),NA,NA,NA,NA,NA,Cxcr4,FALSE
ENSMUSG00000027954,Efna1,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007, 17, 230-238.",NA,NA,NA,NA,NA,Efna1,FALSE
ENSMUSG00000003070,Efna2,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007.",NA,NA,NA,NA,NA,Efna2,FALSE
ENSMUSG00000028039,Efna3,Ephrin/Eph,Ligand,Roles of Eph/ephrin bidirectional signaling in CNS injury and recovery. Exp. Ther. Med. 2018.,NA,NA,NA,NA,NA,Efna3,FALSE
ENSMUSG00000028040,Efna4,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Trends Cell Biol. 2007.",NA,NA,NA,NA,NA,Efna4,FALSE
ENSMUSG00000048915,Efna5,Ephrin/Eph,Ligand,"Jayasena, C.S. et al. Neuroscience 2005, 135, 97-109.",NA,NA,NA,NA,NA,Efna5,FALSE
ENSMUSG00000031217,Efnb1,Ephrin/Eph,Ligand,Proangiogenic Role of ephrinB1/EphB1 in Basic Fibroblast Growth Factor-Induced Corneal Angiogenesis. PMC1851865.,EFNB1,ENSG00000090776,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)",Efnb1,TRUE
ENSMUSG00000001300,Efnb2,Ephrin/Eph,Ligand,Eph-ephrin signaling couples endothelial cell sorting and arterial specification. Nat. Commun. 2024.,EFNB2,ENSG00000133250,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)",Efnb2,TRUE
ENSMUSG00000003934,Efnb3,Ephrin/Eph,Ligand,"Egea, J.; Klein, R. Cell 2008, 133, 38-51.",NA,NA,NA,NA,NA,Efnb3,FALSE
