sampleID,genotype,Allele,age,tissue,transparency,laboratory,batch
A_CO3,Sey,Sey-Neu,Adult,Cornea,O,Lauderdale,2026
A_CO4,Sey,Sey-Neu,Adult,Cornea,O,Lauderdale,2026
A_CO5,Sey,Sey-Neu,Adult,Cornea,O,Lauderdale,2026
A_CU3,Sey,Sey-Neu,Adult,Cornea,T,Lauderdale,2026
A_CU4,Sey,Sey-Neu,Adult,Cornea,T,Lauderdale,2026
A_CU5,Sey,Sey-Neu,Adult,Cornea,T,Lauderdale,2026
A_CW3,WT,WT,Adult,Cornea,T,Lauderdale,2026
A_CW4,WT,WT,Adult,Cornea,T,Lauderdale,2026
A_CW5,WT,WT,Adult,Cornea,T,Lauderdale,2026
B_CU3,Sey,Sey-Neu,P3,Cornea,T,Lauderdale,2026
B_CU4,Sey,Sey-Neu,P3,Cornea,T,Lauderdale,2026
B_CU5,Sey,Sey-Neu,P4,Cornea,T,Lauderdale,2026
B_CW3,WT,WT,P3,Cornea,T,Lauderdale,2026
B_CW4,WT,WT,P3,Cornea,T,Lauderdale,2026
B_CW5,WT,WT,P4,Cornea,T,Lauderdale,2026
K_CU3,Sey,Sey-Neu,P15,Cornea,T,Lauderdale,2026
K_CU4,Sey,Sey-Neu,P15,Cornea,T,Lauderdale,2026
K_CU5,Sey,Sey-Neu,P15,Cornea,T,Lauderdale,2026
K_CW3,WT,WT,P15,Cornea,T,Lauderdale,2026
K_CW4,WT,WT,P15,Cornea,T,Lauderdale,2026
K_CW5,WT,WT,P15,Cornea,T,Lauderdale,2026
A_CW1,WT,WT,Adult,Cornea,T,Lauderdale,2025
A_CU1,Sey,Sey-Neu,Adult,Cornea,T,Lauderdale,2025
A_CO1,Sey,Sey-Neu,Adult,Cornea,O,Lauderdale,2025
A_TW1,WT,WT,Adult,Trigeminal,T,Lauderdale,2025
A_TU1,Sey,Sey-Neu,Adult,Trigeminal,T,Lauderdale,2025
A_TO1,Sey,Sey-Neu,Adult,Trigeminal,O,Lauderdale,2025
A_CW2,WT,WT,Adult,Cornea,T,Lauderdale,2025
A_CU2,Sey,Sey-Neu,Adult,Cornea,T,Lauderdale,2025
A_CO2,Sey,Sey-Neu,Adult,Cornea,O,Lauderdale,2025
A_TW2,WT,WT,Adult,Trigeminal,T,Lauderdale,2025
A_TU2,Sey,Sey-Neu,Adult,Trigeminal,T,Lauderdale,2025
A_TO2,Sey,Sey-Neu,Adult,Trigeminal,O,Lauderdale,2025
K_CW1,WT,WT,P15,Cornea,T,Lauderdale,2025
K_CU1,Sey,Sey-Neu,P15,Cornea,T,Lauderdale,2025
K_TW1,WT,WT,P15,Trigeminal,T,Lauderdale,2025
K_TU1,Sey,Sey-Neu,P15,Trigeminal,T,Lauderdale,2025
K_CW2,WT,WT,P15,Cornea,T,Lauderdale,2025
K_CU2,Sey,Sey-Neu,P15,Cornea,T,Lauderdale,2025
K_TW2,WT,WT,P15,Trigeminal,T,Lauderdale,2025
K_TU2,Sey,Sey-Neu,P15,Trigeminal,T,Lauderdale,2025
B_CW1,WT,WT,P3,Cornea,T,Lauderdale,2025
B_CU1,Sey,Sey-Neu,P3,Cornea,T,Lauderdale,2025
B_TW1,WT,WT,P3,Trigeminal,T,Lauderdale,2025
B_TU1,Sey,Sey-Neu,P3,Trigeminal,T,Lauderdale,2025
B_CU2,Sey,Sey-Neu,P3,Cornea,T,Lauderdale,2025
B_TW2,WT,WT,P3,Trigeminal,T,Lauderdale,2025
B_TU2,Sey,Sey-Neu,P3,Trigeminal,T,Lauderdale,2025
