GeneSymbol,EnsemblGeneID,Corneal_Cell_Type,Evidence,Publication_Source
SEMA3A,ENSG00000075213,Corneal epithelium (basal/suprabasal epithelial cells),Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
SEMA3F,ENSG00000185499,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
EFNB1,ENSG00000090776,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
EFNB2,ENSG00000133250,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
NTN1,ENSG00000065361,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
NTN4,ENSG00000111665,Corneal epithelium,Mouse cornea; abundant expression in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167); Xiao et al., FASEB BioAdvances 2025"
NRP1,ENSG00000099250,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
NRP2,ENSG00000145247,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
PLXNA1,ENSG00000114554,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
PLXNA3,ENSG00000130827,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
EPHB2,ENSG00000133216,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
EPHB4,ENSG00000198793,Corneal epithelium,Receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
NEO1,ENSG00000067182,Corneal epithelium,Netrin receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
UNC5A,ENSG00000029725,Corneal epithelium,Netrin receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
DCC,ENSG00000187323,Corneal epithelium,Netrin receptor expressed in corneal epithelium,"Guaiquil et al., Exp Eye Res 2022 (PMCID: PMC9133167)"
